SYMBOL,ISIN
MOIL,INE490G01020
ZENSARTECH,INE520A01027
CIEINDIA,INE536H01010
ALKEM,INE540L01014
KPIGREEN,INE542W01025
EMAMILTD,INE548C01032
MARUTI,INE585B01010
PIIND,INE603J01030
RALLIS,INE613A01020
RPOWER,INE614G01033
PATANJALI,INE619A01035
UPL,INE628A01036
SRF,INE647A01010
ABFRL,INE647O01011
SWANCORP,INE665A01038
JYOTHYLAB,INE668F01031
TATAELXSI,INE670A01012
SOBHA,INE671H01015
CSBBANK,INE679A01013
UBL,INE686F01025
UCOBANK,INE691A01018
WHIRLPOOL,INE716A01013
JSWCEMENT,INE718I01012
ICRA,INE725G01011
ICICIPRULI,INE726G01019
FIEMIND,INE737H01014
RHIM,INE743M01012
POWERGRID,INE752E01010
JIOFIN,INE758E01017
ICICIGI,INE765G01017
BALKRISIND,INE787D01026
SIRCA,INE792Z01011
HDFCLIFE,INE795G01014
JUBLFOOD,INE797F01020
MEDPLUS,INE804L01022
TORNTPOWER,INE813H01021
IRB,INE821I01022
JKCEMENT,INE823G01014
BSOFT,INE836A01035
GUJENERGY,INE844O01030
HCLTECH,INE860A01027
NETWORK18,INE870H01013
PTC,INE877F01012
MRF,INE883A01011
AADHARHFC,INE883F01010
SIGNATURE,INE903U01023
CMSINFO,INE925R01014
INDIAMART,INE933S01016
IRCON,INE962Y01021
LEMONTREE,INE970X01018
NATCOPHARM,INE987B01026
OPTIEMUS,INE350C01017
LODHA,INE670K01029
GODREJPROP,INE484J01027
PREMIERENE,INE0BS701011
PGEL,INE457L01029
UNOMINDA,INE405E01023
BANDHANBNK,INE545U01014
NTPC,INE733E01010
LICHSGFIN,INE115A01026
CCAVENUE,INE483S01020
ENDURANCE,INE913H01037
ALKYLAMINE,INE150B01039
GENUSPOWER,INE955D01029
GREAVESCOT,INE224A01026
DELHIVERY,INE148O01028
KSB,INE999A01023
KRBL,INE001B01026
FIVESTAR,INE128S01021
CHOICEIN,INE102B01014
CONCOR,INE111A01025
ENRIN,INE1NPP01017
JUBLINGREA,INE0BY001018
ATGL,INE399L01023
NAUKRI,INE663F01032
SENCO,INE602W01027
TITAGARH,INE615H01020
63MOONS,INE111B01023
DEEPAKFERT,INE501A01019
TATAINVEST,INE672A01026
NHPC,INE848E01016
KIRLOSBROS,INE732A01036
BALUFORGE,INE011E01029
INDHOTEL,INE053A01029
HOMEFIRST,INE481N01025
RAINBOW,INE961O01016
MANKIND,INE634S01028
CDSL,INE736A01011
JPPOWER,INE351F01018
SUNDARMFIN,INE660A01013
CYIENT,INE136B01020
DEEPAKNTR,INE288B01029
GODREJIND,INE233A01035
BORORENEW,INE666D01022
BERGEPAINT,INE463A01038
HONAUT,INE671A01010
BLACKBUCK,INE0UIZ01018
LICI,INE0J1Y01017
CRISIL,INE007A01025
ECLERX,INE738I01010
COCHINSHIP,INE704P01025
SFL,INE916U01025
TIINDIA,INE974X01010
HBLENGINE,INE292B01021
MOBIKWIK,INE0HLU01028
