RANK,SYMBOL,ISIN,CLOSE,SCORE,R12_PCT,R6_PCT,VOLATILITY_PCT,VAM,AGREE,ADTV_CR,STALE_SESSIONS,FROZEN_RATE,ELIGIBLE
487,EPACK,INE0G5901015,187.53,-0.0,-51.7,-25.4,48.3,-1.0704,0.0,24.11,0,0.0,HAAN
487,MSUMI,INE0FS801015,36.6,-0.0,-12.9,-14.7,30.8,-0.4188,0.0,57.23,0,0.0,HAAN
487,MOTISONS,INE0FRK01020,15.43,-0.0,-22.7,-3.3,48.1,-0.4719,0.0,75.81,0,0.0,HAAN
487,RAILTEL,INE0DD101019,271.55,-0.0,-23.1,-13.1,39.1,-0.5908,0.0,24.91,0,0.0,HAAN
487,OSWALPUMPS,INE0BYP01024,278.3,-0.0,-67.0,-13.4,45.6,-1.4693,0.0,26.47,0,0.0,HAAN
487,JMFINANCIL,INE780C01023,129.39,-0.0,-32.8,-2.6,40.9,-0.802,0.0,37.45,0,0.0,HAAN
487,MAPMYINDIA,INE0BV301023,982.6,-0.0,-42.2,-6.3,44.5,-0.9483,0.0,63.4,0,0.0,HAAN
487,GOCOLORS,INE0BJS01011,323.35,-0.0,-53.6,-0.2,50.2,-1.0677,0.0,33.12,0,0.0,HAAN
487,BALKRISIND,INE787D01026,2329.1,-0.0,-1.6,-5.4,33.5,-0.0478,0.0,107.51,0,0.0,HAAN
487,UBL,INE686F01025,1282.6,-0.0,-30.9,-19.5,21.6,-1.4306,0.0,15.71,0,0.0,HAAN
487,ABFRL,INE647O01011,50.47,-0.0,-38.4,-26.4,37.8,-1.0159,0.0,32.71,0,0.0,HAAN
487,SRF,INE647A01010,2598.4,-0.0,-10.8,-0.7,29.5,-0.3661,0.0,122.68,0,0.0,HAAN
487,LICHSGFIN,INE115A01026,541.25,-0.0,-3.5,-0.8,25.3,-0.1383,0.0,99.98,0,0.0,HAAN
487,HDFCLIFE,INE795G01014,533.0,-0.0,-32.3,-27.4,22.1,-1.4615,0.0,184.08,0,0.0,HAAN
487,JUBLFOOD,INE797F01020,486.5,-0.0,-24.9,-5.7,32.2,-0.7733,0.0,126.57,0,0.0,HAAN
487,GODREJCP,INE102D01028,905.0,-0.0,-28.3,-27.0,26.6,-1.0639,0.0,135.95,0,0.0,HAAN
487,MEDPLUS,INE804L01022,659.95,-0.0,-21.5,-22.2,30.3,-0.7096,0.0,16.99,0,0.0,HAAN
487,AFCONS,INE101I01011,285.1,-0.0,-33.9,-4.0,31.9,-1.0627,0.0,47.11,0,0.0,HAAN
487,M&M,INE101A01026,3190.0,-0.0,-6.1,-8.5,28.1,-0.2171,0.0,803.9,0,0.0,HAAN
487,ATUL,INE100A01010,6485.5,-0.0,-0.3,-0.7,25.3,-0.0119,0.0,29.35,0,0.0,HAAN
487,HYUNDAI,INE0V6F01027,2154.4,-0.0,-12.9,-1.8,27.6,-0.4674,0.0,157.32,0,0.0,HAAN
487,TORNTPOWER,INE813H01021,1248.9,-0.0,-2.6,-20.2,30.8,-0.0844,0.0,45.5,0,0.0,HAAN
487,UCOBANK,INE691A01018,24.39,-0.0,-15.4,-18.2,27.6,-0.558,0.0,20.46,0,0.0,HAAN
487,TATACONSUM,INE192A01025,1012.0,-0.0,-6.4,-12.7,23.0,-0.2783,0.0,157.41,0,0.0,HAAN
487,CSBBANK,INE679A01013,331.65,-0.0,-14.1,-17.7,45.4,-0.3106,0.0,17.23,0,0.0,HAAN
487,TATAINVEST,INE672A01026,628.1,-0.0,-10.2,-4.1,42.8,-0.2383,0.0,22.57,0,0.0,HAAN
487,SOBHA,INE671H01015,1230.1,-0.0,-18.3,-14.6,31.3,-0.5847,0.0,24.16,0,0.0,HAAN
487,JAIBALAJI,INE091G01026,70.6,-0.0,-31.2,-1.9,50.6,-0.6166,0.0,2.05,0,0.0,HAAN
487,IGIL,INE0Q9301021,327.2,-0.0,-8.0,-0.7,36.3,-0.2204,0.0,21.73,0,0.0,HAAN
487,TATACHEM,INE092A01019,633.95,-0.0,-33.3,-11.5,28.4,-1.1725,0.0,52.03,0,0.0,HAAN
487,NTPCGREEN,INE0ONG01011,88.12,-0.0,-13.4,-2.3,27.9,-0.4803,0.0,44.6,0,0.0,HAAN
487,HINDPETRO,INE094A01015,359.0,-0.0,-8.0,-19.1,35.0,-0.2286,0.0,242.06,0,0.0,HAAN
487,UTIAMC,INE094J01016,877.0,-0.0,-34.9,-14.8,29.1,-1.1993,0.0,20.5,0,0.0,HAAN
487,ICICIPRULI,INE726G01019,499.5,-0.0,-20.7,-26.0,25.1,-0.8247,0.0,86.99,0,0.0,HAAN
487,ICRA,INE725G01011,4891.3,-0.0,-22.2,-13.0,22.4,-0.9911,0.0,17.02,0,0.0,HAAN
487,NAVA,INE725A01030,560.75,-0.0,-16.6,-6.7,35.8,-0.4637,0.0,17.69,0,0.0,HAAN
487,HAPPSTMNDS,INE419U01012,354.85,-0.0,-40.4,-2.1,39.3,-1.028,0.0,76.3,0,0.0,HAAN
487,RITES,INE320J01015,212.6,-0.0,-15.7,-1.4,33.4,-0.4701,0.0,96.09,0,0.0,HAAN
487,HINDUNILVR,INE030A01027,1975.0,-0.0,-25.0,-17.1,21.7,-1.1521,0.0,341.62,0,0.0,HAAN
487,FIRSTCRY,INE02RE01045,170.82,-0.0,-55.0,-22.5,42.2,-1.3033,0.0,35.42,0,0.0,HAAN
487,MAXHEALTH,INE027H01010,994.0,-0.0,-18.6,-10.4,26.2,-0.7099,0.0,216.82,0,0.0,HAAN
487,RCF,INE027A01015,113.94,-0.0,-27.3,-10.9,33.6,-0.8125,0.0,22.66,0,0.0,HAAN
487,IEX,INE022Q01020,118.86,-0.0,-17.4,-6.8,31.3,-0.5559,0.0,62.05,0,0.0,HAAN
487,RECLTD,INE020B01018,316.45,-0.0,-15.6,-10.6,27.9,-0.5591,0.0,200.52,0,0.0,HAAN
487,CROMPTON,INE299U01018,227.72,-0.0,-29.5,-13.2,29.1,-1.0137,0.0,87.91,0,0.0,HAAN
487,DOMS,INE321T01012,2206.3,-0.0,-11.5,-6.0,26.9,-0.4275,0.0,42.02,0,0.0,HAAN
487,APOLLOTYRE,INE438A01022,434.15,-0.0,-6.8,-5.8,27.4,-0.2482,0.0,42.66,0,0.0,HAAN
487,GILLETTE,INE322A01010,7346.0,-0.0,-28.9,-12.2,23.3,-1.2403,0.0,15.15,0,0.0,HAAN
